t,cmd_left,cmd_right
0.0000,0.0000,0.0000
0.0333,0.0000,0.0000
0.0667,0.0000,0.0000
0.1000,0.0000,0.0000
0.1333,0.0000,0.0000
0.1667,0.0000,0.0000
0.2000,0.0000,0.0000
0.2333,0.0000,0.0000
0.2667,0.0000,0.0000
0.3000,0.0000,0.0000
0.3333,0.0000,0.0000
0.3667,0.0000,0.0000
0.4000,0.0000,0.0000
0.4333,0.0000,0.0000
0.4667,0.0000,0.0000
0.5000,0.0000,0.0000
0.5333,0.0000,0.0000
0.5667,0.0000,0.0000
0.6000,0.0000,0.0000
0.6333,0.0000,0.0000
0.6667,0.0000,0.0000
0.7000,0.0000,0.0000
0.7333,0.0000,0.0000
0.7667,0.0000,0.0000
0.8000,0.0000,0.0000
0.8333,0.0000,0.0000
0.8667,0.0000,0.0000
0.9000,0.0000,0.0000
0.9333,0.0000,0.0000
0.9667,0.0000,0.0000
1.0000,0.0000,0.0000
1.0333,0.0000,0.0000
1.0667,0.0000,0.0000
1.1000,0.0000,0.0000
1.1333,0.0000,0.0000
1.1667,0.0000,0.0000
1.2000,0.0000,0.0000
1.2333,0.0000,0.0000
1.2667,0.0000,0.0000
1.3000,0.0000,0.0000
1.3333,0.0000,0.0000
1.3667,0.0000,0.0000
1.4000,0.0000,0.0000
1.4333,0.0000,0.0000
1.4667,0.0000,0.0000
1.5000,0.0000,0.0000
1.5333,0.0000,0.0000
1.5667,0.0000,0.0000
1.6000,0.0000,0.0000
1.6333,0.0000,0.0000
1.6667,0.0000,0.0000
1.7000,0.0000,0.0000
1.7333,0.0000,0.0000
1.7667,0.0000,0.0000
1.8000,0.0000,0.0000
1.8333,0.0000,0.0000
1.8667,0.0000,0.0000
1.9000,0.0000,0.0000
1.9333,0.0000,0.0000
1.9667,0.0000,0.0000
2.0000,0.0000,0.0000
2.0333,0.0000,0.0000
2.0667,0.0000,0.0000
2.1000,0.0000,0.0000
2.1333,0.0000,0.0000
2.1667,0.0000,0.0000
2.2000,0.0000,0.0000
2.2333,0.0000,0.0000
2.2667,0.0000,0.0000
2.3000,0.0000,0.0000
2.3333,0.0000,0.0000
2.3667,0.0000,0.0000
2.4000,0.0000,0.0000
2.4333,0.0000,0.0000
2.4667,0.0000,0.0000
2.5000,0.0000,0.0000
2.5333,0.0000,0.0000
2.5667,0.0000,0.0000
2.6000,0.0000,0.0000
2.6333,0.0000,0.0000
2.6667,0.0000,0.0000
2.7000,0.0000,0.0000
2.7333,0.0000,0.0000
2.7667,0.0000,0.0000
2.8000,0.0000,0.0000
2.8333,0.0000,0.0000
2.8667,0.0000,0.0000
2.9000,0.0000,0.0000
2.9333,0.0000,0.0000
2.9667,0.0000,0.0000
3.0000,0.0000,0.0000
3.0333,0.0458,0.0458
3.0667,0.0917,0.0917
3.1000,0.1375,0.1375
3.1333,0.1833,0.1833
3.1667,0.2292,0.2292
3.2000,0.2750,0.2750
3.2333,0.3208,0.3208
3.2667,0.3667,0.3667
3.3000,0.4125,0.4125
3.3333,0.4583,0.4583
3.3667,0.5042,0.5042
3.4000,0.5500,0.5500
3.4333,0.5500,0.5500
3.4667,0.5500,0.5500
3.5000,0.5500,0.5500
3.5333,0.5500,0.5500
3.5667,0.5500,0.5500
3.6000,0.5500,0.5500
3.6333,0.5500,0.5500
3.6667,0.5500,0.5500
3.7000,0.5500,0.5500
3.7333,0.5500,0.5500
3.7667,0.5500,0.5500
3.8000,0.5500,0.5500
3.8333,0.5500,0.5500
3.8667,0.5500,0.5500
3.9000,0.5500,0.5500
3.9333,0.5500,0.5500
3.9667,0.5500,0.5500
4.0000,0.5500,0.5500
4.0333,0.5500,0.5500
4.0667,0.5500,0.5500
4.1000,0.5500,0.5500
4.1333,0.5500,0.5500
4.1667,0.5500,0.5500
4.2000,0.5500,0.5500
4.2333,0.5500,0.5500
4.2667,0.5500,0.5500
4.3000,0.5500,0.5500
4.3333,0.5500,0.5500
4.3667,0.5500,0.5500
4.4000,0.5500,0.5500
4.4333,0.5500,0.5500
4.4667,0.5500,0.5500
4.5000,0.5500,0.5500
4.5333,0.5500,0.5500
4.5667,0.5500,0.5500
4.6000,0.5500,0.5500
4.6333,0.5500,0.5500
4.6667,0.5500,0.5500
4.7000,0.5500,0.5500
4.7333,0.5500,0.5500
4.7667,0.5500,0.5500
4.8000,0.5500,0.5500
4.8333,0.5500,0.5500
4.8667,0.5500,0.5500
4.9000,0.5500,0.5500
4.9333,0.5500,0.5500
4.9667,0.5500,0.5500
5.0000,0.5500,0.5500
5.0333,0.5500,0.5500
5.0667,0.5500,0.5500
5.1000,0.5500,0.5500
5.1333,0.5500,0.5500
5.1667,0.5500,0.5500
5.2000,0.5500,0.5500
5.2333,0.5500,0.5500
5.2667,0.5500,0.5500
5.3000,0.5500,0.5500
5.3333,0.5500,0.5500
5.3667,0.5500,0.5500
5.4000,0.5500,0.5500
5.4333,0.5500,0.5500
5.4667,0.5500,0.5500
5.5000,0.5500,0.5500
5.5333,0.5500,0.5500
5.5667,0.5500,0.5500
5.6000,0.5500,0.5500
5.6333,0.5500,0.5500
5.6667,0.5500,0.5500
5.7000,0.5500,0.5500
5.7333,0.5500,0.5500
5.7667,0.5500,0.5500
5.8000,0.5500,0.5500
5.8333,0.5500,0.5500
5.8667,0.5500,0.5500
5.9000,0.5500,0.5500
5.9333,0.5500,0.5500
5.9667,0.5500,0.5500
6.0000,0.5500,0.5500
6.0333,0.5500,0.5500
6.0667,0.5500,0.5500
6.1000,0.5500,0.5500
6.1333,0.5500,0.5500
6.1667,0.5500,0.5500
6.2000,0.5500,0.5500
6.2333,0.5500,0.5500
6.2667,0.5500,0.5500
6.3000,0.5500,0.5500
6.3333,0.5500,0.5500
6.3667,0.5500,0.5500
6.4000,0.5500,0.5500
6.4333,0.5500,0.5500
6.4667,0.5500,0.5500
6.5000,0.5500,0.5500
6.5333,0.5500,0.5500
